algorithm,cores,iterations,size,latency,min,max
0,158,1000,524288.0,3010.72,93.74,4368.98
0,158,1000,1048576.0,6069.21,189.98,8633.56
0,26,1000,1.0,2.45,0.6,4.64
0,26,1000,2.0,2.46,0.6,4.6
0,26,1000,4.0,2.78,0.87,5.1
0,26,1000,8.0,2.75,0.77,5.03
0,26,1000,16.0,2.88,0.85,5.26
0,26,1000,32.0,3.52,1.11,6.27
0,26,1000,64.0,3.65,0.94,6.51
0,26,1000,128.0,4.03,1.23,7.27
0,26,1000,256.0,5.13,2.03,8.96
0,26,1000,512.0,5.73,2.56,9.59
0,26,1000,1024.0,6.44,3.2,10.33
0,26,1000,2048.0,7.71,3.39,12.51
0,26,1000,4096.0,9.55,5.49,13.7
0,26,1000,8192.0,15.68,9.02,20.64
0,26,1000,16384.0,30.74,12.39,48.85
0,26,1000,32768.0,50.1,22.89,73.04
0,26,1000,65536.0,95.39,41.86,140.82
0,26,1000,131072.0,185.92,84.32,278.06
0,26,1000,262144.0,368.09,178.71,554.86
0,26,1000,524288.0,642.38,334.94,931.91
0,26,1000,1048576.0,637.38,583.79,695.61
2,186,1000,1.0,70.73,0.6,140.04
2,186,1000,2.0,68.42,0.59,137.55
2,186,1000,4.0,64.46,0.58,134.94
2,186,1000,8.0,63.05,0.59,127.27
2,186,1000,16.0,66.38,0.59,129.19
2,186,1000,32.0,68.09,0.62,131.91
2,186,1000,64.0,65.98,0.63,130.02
2,186,1000,128.0,66.47,0.69,132.8
2,186,1000,256.0,78.84,1.65,160.43
2,186,1000,512.0,92.65,1.77,187.31
2,186,1000,1024.0,94.12,2.26,210.28
2,186,1000,2048.0,95.34,0.87,189.79
2,186,1000,4096.0,107.76,1.0,214.82
2,186,1000,8192.0,127.44,1.41,253.36
2,186,1000,16384.0,174.97,7.84,345.36
2,186,1000,32768.0,218.81,11.82,421.43
2,186,1000,65536.0,509.63,30.54,951.6
2,186,1000,131072.0,756.14,41.38,1367.27
2,186,1000,262144.0,1277.89,61.71,2344.41
2,186,1000,524288.0,2576.5,109.24,4586.52
2,186,1000,1048576.0,6398.74,202.28,11912.95
2,90,1000,1.0,27.97,0.95,56.7
2,90,1000,2.0,27.78,1.01,56.43
2,90,1000,4.0,25.36,0.61,53.34
2,90,1000,8.0,25.5,0.65,53.56
2,90,1000,16.0,25.55,0.79,53.52
2,90,1000,32.0,26.35,0.92,54.91
2,90,1000,64.0,27.48,0.93,57.28
2,90,1000,128.0,28.4,1.33,57.95
2,90,1000,256.0,33.86,2.01,68.41
2,90,1000,512.0,36.97,2.29,74.89
2,90,1000,1024.0,41.39,3.06,82.82
2,90,1000,2048.0,41.6,2.22,84.16
2,90,1000,4096.0,49.7,3.11,99.68
2,90,1000,8192.0,62.01,4.98,121.89
2,90,1000,16384.0,92.16,8.17,177.14
